Prefix,Course Number,Course Title,Section,Class Number,Credit,Days & Times,Bldg & Room,Dates,Instructor
B_A,211,"Ethics, Teams, and Innovation",02,27257,3,"M,W9.10-10.25",VMMC 22,Jan 10--Apr 29,B Warnick
B_A,211,"Ethics, Teams, and Innovation",03,"",3,ARRGT,ARR ARR,Mar 07--May 01,N Yaws-Gonzalez
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",01,27214,3,TU13.30-14.45,WEB ARR,Jan 10--Apr 29,Y He
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis","","","",TH13.30-14.45,VUB 100,"",""
B_A,212,"Spreadsheets, Data Visualization, and Decision Analysis",03,"",3,ARRGT,ARR ARR,Jan 10--Feb 27,Y He
B_LAW,210,Law and the Legal Environment of Business,01,25876,3,"M,W16.20-17.35",VMMC 16,Jan 10--Apr 29,J Richardson
BIOLOGY,101,[BSCI] Biology of Humans,02,26956,3,ARRGT,ARR ARR,Jan 10--Apr 29,W Cushwa
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,01,26391,4,"TU,TH9.10-10.25",VMMC 6,Jan 10--Apr 29,K Turner
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,02,26392,4,"TU,TH13.30-14.45",VMMC 6,Jan 10--Apr 29,K Turner
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,01 Lab,26393,0,TU10.35-13.15,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,02 Lab,26394,0,TU13.30-16.10,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,04 Lab,26395,0,W7.45-10.25,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,107,[BSCI] Introductory Biology: Cell Biology and Genetics,05 Lab,26396,0,W13.30-16.10,VSCI 109,Jan 10--Apr 29,""
BIOLOGY,111,[BSCI] Laboratory Experiments in Biology and Genetics,01,26073,1,M9.10-11.50,VSCI 101,Jan 10--Apr 29,G Gakhar
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,01,26065,3,W9.10-10.25,VUB 125,Jan 10--Apr 29,A Causey
BIOLOGY,140,[BSCI] Introduction to Nutritional Science,"","","",F9.10-10.25,WEB ARR,"",""
BIOLOGY,220,Medical Terminology,01,30732,2,"M,W9.10-10",VLIB 265,Jan 10--Apr 29,V Alla
